dataset,contrast,endpoint,n_paired_seeds,effect,seed_sd,status
Cao,DEPTH_SHUFFLED_CL-GENERIC_STAR,retained_known_accuracy,4,0.00046023508157994053,0.00032240874030036343,FOUR_SEEDS_COMPLETE
Quake_10x,DEPTH_SHUFFLED_CL-GENERIC_STAR,retained_known_accuracy,4,-0.00048161397367696424,0.0001783597551055195,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,DEPTH_SHUFFLED_CL-GENERIC_STAR,retained_known_accuracy,4,0.00042583239252946825,0.00043399433838077885,FOUR_SEEDS_COMPLETE
Wagner,DEPTH_SHUFFLED_CL-GENERIC_STAR,retained_known_accuracy,4,-0.002008456550647769,0.001409901356050576,FOUR_SEEDS_COMPLETE
Zeisel_2018,DEPTH_SHUFFLED_CL-GENERIC_STAR,retained_known_accuracy,4,-0.00035674881967470706,0.00033555527784403627,FOUR_SEEDS_COMPLETE
Cao,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_auroc,4,-0.008126471477708369,0.001007174503390858,FOUR_SEEDS_COMPLETE
Quake_10x,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_auroc,4,6.004990146749045e-05,3.551295855753668e-05,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_auroc,4,-0.0014685083743913585,0.00037180051813970956,FOUR_SEEDS_COMPLETE
Wagner,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_auroc,4,-0.003376501958635675,0.00035931456599151804,FOUR_SEEDS_COMPLETE
Zeisel_2018,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_auroc,4,-4.036233595500205e-05,9.236602311197154e-05,FOUR_SEEDS_COMPLETE
Cao,DEPTH_SHUFFLED_CL-GENERIC_STAR,threshold_precision,4,-0.030478306417701162,0.026745652598020676,FOUR_SEEDS_COMPLETE
Quake_10x,DEPTH_SHUFFLED_CL-GENERIC_STAR,threshold_precision,4,0.00012256451278097602,0.0012748354498569277,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,DEPTH_SHUFFLED_CL-GENERIC_STAR,threshold_precision,4,3.67298305741226e-05,0.0008174645020013555,FOUR_SEEDS_COMPLETE
Wagner,DEPTH_SHUFFLED_CL-GENERIC_STAR,threshold_precision,4,0.0007763908372801775,0.0011350274953310765,FOUR_SEEDS_COMPLETE
Zeisel_2018,DEPTH_SHUFFLED_CL-GENERIC_STAR,threshold_precision,4,-0.006362732242708058,0.01967234402153215,FOUR_SEEDS_COMPLETE
